Objekt,X,Y,Razdalja_mm,Čas
orange_cone,584,272,0,00:39:29.018648
orange_cone,570,269,0,00:39:29.052025
orange_cone,570,269,0,00:39:29.087986
orange_cone,566,265,0,00:39:29.117316
orange_cone,566,265,0,00:39:29.145342
orange_cone,564,285,0,00:39:29.169340
orange_cone,564,285,0,00:39:29.197985
orange_cone,553,253,0,00:39:29.223416
orange_cone,553,253,0,00:39:29.247430
orange_cone,553,253,0,00:39:29.276078
orange_cone,550,266,0,00:39:29.300677
orange_cone,550,266,0,00:39:29.328482
orange_cone,561,241,0,00:39:30.140257
orange_cone,561,241,0,00:39:30.168969
orange_cone,491,413,0,00:39:32.061090
orange_cone,561,417,0,00:39:32.577719
orange_cone,561,417,0,00:39:32.611503
orange_cone,558,417,0,00:39:32.643041
orange_cone,558,417,0,00:39:32.676103
orange_cone,557,414,0,00:39:32.709532
orange_cone,556,411,0,00:39:32.738827
orange_cone,556,411,0,00:39:32.770365
orange_cone,558,405,0,00:39:32.831656
orange_cone,558,405,0,00:39:32.858280
orange_cone,559,404,0,00:39:32.885118
orange_cone,561,401,0,00:39:32.917524
orange_cone,561,401,0,00:39:32.951835
orange_cone,561,402,0,00:39:32.979635
orange_cone,561,402,0,00:39:33.007011
orange_cone,561,402,0,00:39:33.038026
orange_cone,562,403,0,00:39:33.068569
orange_cone,562,403,0,00:39:33.101168
orange_cone,562,403,0,00:39:33.135445
orange_cone,563,404,0,00:39:33.166611
orange_cone,568,400,0,00:39:33.275655
orange_cone,568,400,0,00:39:33.303297
orange_cone,568,399,0,00:39:33.412104
orange_cone,493,523,579,00:39:34.413467
orange_cone,583,414,0,00:39:34.540211
orange_cone,583,414,0,00:39:34.574045
orange_cone,583,409,0,00:39:34.608083
orange_cone,581,424,0,00:39:34.641772
orange_cone,569,399,0,00:39:35.406150
orange_cone,563,398,0,00:39:35.469409
orange_cone,477,535,577,00:39:35.567567
orange_cone,560,395,0,00:39:35.638735
orange_cone,561,398,0,00:39:35.675010
orange_cone,561,400,0,00:39:35.705028
orange_cone,561,400,0,00:39:35.737244
orange_cone,580,410,0,00:39:36.791166
orange_cone,579,412,0,00:39:36.824463
orange_cone,579,412,0,00:39:36.859135
orange_cone,579,414,0,00:39:36.893683
orange_cone,494,541,581,00:39:37.596696
orange_cone,584,538,603,00:39:37.864110
orange_cone,584,538,604,00:39:37.896373
orange_cone,584,539,607,00:39:37.929932
orange_cone,585,539,603,00:39:38.080403
orange_cone,580,400,0,00:39:38.926507
orange_cone,484,416,0,00:39:38.926798
orange_cone,583,402,0,00:39:38.962498
orange_cone,488,418,0,00:39:38.962799
orange_cone,501,547,582,00:39:38.996981
orange_cone,491,419,0,00:39:38.997280
orange_cone,501,547,582,00:39:39.031311
orange_cone,491,419,0,00:39:39.031611
orange_cone,635,534,658,00:39:40.673126
orange_cone,542,537,588,00:39:40.673459
orange_cone,554,529,596,00:39:40.869433
orange_cone,540,544,583,00:39:40.939288
orange_cone,537,543,582,00:39:40.939602
orange_cone,534,530,592,00:39:40.976361
orange_cone,573,489,0,00:39:41.014087
orange_cone,609,391,0,00:39:41.047802
orange_cone,573,485,0,00:39:41.048108
orange_cone,523,526,580,00:39:41.048377
orange_cone,609,391,0,00:39:41.083650
orange_cone,573,485,0,00:39:41.083975
orange_cone,523,526,580,00:39:41.084264
orange_cone,524,527,589,00:39:41.121029
orange_cone,604,392,0,00:39:41.220586
orange_cone,516,525,577,00:39:41.858735
orange_cone,516,525,578,00:39:41.886045
orange_cone,603,419,0,00:39:42.996317
orange_cone,603,419,0,00:39:43.025688
orange_cone,513,415,0,00:39:43.059179
orange_cone,513,415,0,00:39:43.095909
orange_cone,606,403,0,00:39:43.133022
orange_cone,604,396,0,00:39:43.166668
orange_cone,604,396,0,00:39:43.201131
orange_cone,525,477,0,00:39:43.237032
orange_cone,517,460,0,00:39:43.273358
yellow_cone,863,447,0,00:39:43.543086
yellow_cone,863,447,0,00:39:43.570890
blue_cone,155,65,2045,00:39:43.702416
blue_cone,155,65,2034,00:39:43.728272
blue_cone,155,65,2034,00:39:43.755215
blue_cone,181,62,2120,00:39:43.848610
blue_cone,181,62,2117,00:39:43.883811
blue_cone,863,347,0,00:39:44.005121
blue_cone,863,347,0,00:39:44.030063
blue_cone,863,347,0,00:39:44.060607
blue_cone,857,345,0,00:39:44.091805
blue_cone,367,177,611,00:39:44.092262
blue_cone,848,353,0,00:39:44.123412
blue_cone,372,176,612,00:39:44.123661
blue_cone,848,353,0,00:39:44.156835
blue_cone,372,176,623,00:39:44.157093
blue_cone,417,166,621,00:39:44.377685
blue_cone,417,166,630,00:39:44.412359
blue_cone,424,166,626,00:39:44.447671
blue_cone,424,166,633,00:39:44.485615
blue_cone,433,163,620,00:39:44.523906
blue_cone,434,164,625,00:39:44.558806
blue_cone,434,164,626,00:39:44.596308
blue_cone,438,165,627,00:39:44.630763
blue_cone,438,165,630,00:39:44.658093
blue_cone,439,165,640,00:39:44.681871
blue_cone,439,165,651,00:39:44.709624
blue_cone,440,163,636,00:39:44.734501
blue_cone,440,163,643,00:39:44.763137
blue_cone,450,165,634,00:39:44.788786
blue_cone,450,165,643,00:39:44.813506
blue_cone,450,165,651,00:39:44.839001
blue_cone,448,164,652,00:39:44.864504
blue_cone,448,164,660,00:39:44.892911
blue_cone,452,163,662,00:39:44.917933
blue_cone,452,163,661,00:39:44.945772
blue_cone,457,162,660,00:39:44.970113
blue_cone,457,162,665,00:39:44.998861
blue_cone,467,160,649,00:39:45.023858
blue_cone,467,160,662,00:39:45.048954
blue_cone,467,160,664,00:39:45.076489
blue_cone,466,162,662,00:39:45.101977
blue_cone,466,162,660,00:39:45.133737
blue_cone,471,162,660,00:39:45.165130
blue_cone,471,162,656,00:39:45.199551
blue_cone,478,162,654,00:39:45.231130
blue_cone,478,162,655,00:39:45.264672
blue_cone,758,450,631,00:39:45.581214
blue_cone,758,450,619,00:39:45.610591
blue_cone,732,467,604,00:39:45.636275
blue_cone,783,459,622,00:39:45.636522
blue_cone,732,467,546,00:39:45.665475
blue_cone,783,459,494,00:39:45.665724
blue_cone,723,427,0,00:39:45.832215
blue_cone,723,427,0,00:39:45.867656
blue_cone,488,170,608,00:39:46.009980
blue_cone,488,170,606,00:39:46.047539
orange_cone,674,325,0,00:39:46.840343
orange_cone,674,306,0,00:39:46.927572
orange_cone,674,306,0,00:39:46.955404
orange_cone,670,298,0,00:39:46.989344
orange_cone,648,293,0,00:39:47.178635
orange_cone,648,293,0,00:39:47.212318
orange_cone,644,292,0,00:39:47.245390
orange_cone,622,382,0,00:39:47.324719
orange_cone,632,290,0,00:39:47.324974
orange_cone,622,382,0,00:39:47.354156
orange_cone,632,290,0,00:39:47.354406
blue_cone,623,383,0,00:39:47.379905
orange_cone,628,383,0,00:39:47.380167
orange_cone,632,290,0,00:39:47.380397
blue_cone,623,383,0,00:39:47.407077
orange_cone,628,383,0,00:39:47.407330
orange_cone,632,290,0,00:39:47.407556
blue_cone,620,390,0,00:39:47.434034
orange_cone,632,293,0,00:39:47.434549
orange_cone,621,392,0,00:39:47.460423
orange_cone,631,297,0,00:39:47.460672
orange_cone,621,392,0,00:39:47.489592
orange_cone,631,297,0,00:39:47.489836
orange_cone,625,399,0,00:39:47.514837
orange_cone,625,399,0,00:39:47.551699
orange_cone,621,401,0,00:39:47.589644
orange_cone,625,300,0,00:39:47.589941
orange_cone,623,299,0,00:39:47.626947
orange_cone,619,398,0,00:39:47.627252
orange_cone,621,391,0,00:39:47.664364
orange_cone,621,297,0,00:39:47.664665
orange_cone,619,392,0,00:39:47.700531
orange_cone,621,295,0,00:39:47.700774
orange_cone,617,392,0,00:39:47.729789
orange_cone,621,295,0,00:39:47.730044
orange_cone,613,401,0,00:39:47.759654
blue_cone,613,401,0,00:39:47.759900
orange_cone,621,296,0,00:39:47.760123
orange_cone,554,682,0,00:39:47.760323
orange_cone,613,401,0,00:39:47.787263
blue_cone,613,401,0,00:39:47.787487
orange_cone,621,296,0,00:39:47.787669
orange_cone,554,682,0,00:39:47.787848
orange_cone,611,405,0,00:39:47.815753
orange_cone,621,300,0,00:39:47.815994
orange_cone,608,299,0,00:39:47.816224
blue_cone,610,405,0,00:39:47.816452
blue_cone,667,678,0,00:39:47.816906
orange_cone,550,689,0,00:39:47.817134
orange_cone,610,413,0,00:39:47.842508
orange_cone,608,303,0,00:39:47.842799
orange_cone,620,304,0,00:39:47.843050
blue_cone,670,682,0,00:39:47.843269
orange_cone,610,413,0,00:39:47.870061
orange_cone,608,303,0,00:39:47.870345
orange_cone,620,304,0,00:39:47.870585
blue_cone,670,682,0,00:39:47.870794
orange_cone,612,417,0,00:39:47.904433
orange_cone,608,308,0,00:39:47.904690
orange_cone,549,690,0,00:39:47.904903
blue_cone,609,684,0,00:39:47.905116
orange_cone,610,418,0,00:39:47.937634
orange_cone,608,311,0,00:39:47.937878
orange_cone,548,691,0,00:39:47.938096
orange_cone,608,422,0,00:39:47.970520
orange_cone,546,695,0,00:39:47.970766
orange_cone,604,423,0,00:39:47.995997
blue_cone,615,319,0,00:39:47.996242
orange_cone,604,423,0,00:39:48.024487
blue_cone,615,319,0,00:39:48.024704
orange_cone,603,427,0,00:39:48.054457
orange_cone,600,429,0,00:39:48.079527
orange_cone,600,429,0,00:39:48.108566
orange_cone,599,429,0,00:39:48.137540
orange_cone,603,319,0,00:39:48.137777
orange_cone,601,430,0,00:39:48.163524
orange_cone,614,323,0,00:39:48.163764
orange_cone,601,430,0,00:39:48.192126
orange_cone,614,323,0,00:39:48.192365
orange_cone,598,430,0,00:39:48.225761
orange_cone,614,325,0,00:39:48.226008
orange_cone,599,431,0,00:39:48.258675
orange_cone,613,325,0,00:39:48.258929
orange_cone,603,323,0,00:39:48.259141
orange_cone,598,430,0,00:39:48.291580
orange_cone,613,325,0,00:39:48.291842
orange_cone,603,323,0,00:39:48.292062
orange_cone,598,431,0,00:39:48.328056
orange_cone,602,323,0,00:39:48.328358
orange_cone,613,325,0,00:39:48.328612
orange_cone,598,430,0,00:39:48.366036
orange_cone,602,323,0,00:39:48.366357
orange_cone,612,325,0,00:39:48.366602
orange_cone,598,428,0,00:39:48.402453
orange_cone,601,323,0,00:39:48.404649
orange_cone,612,324,0,00:39:48.404944
orange_cone,599,427,0,00:39:48.441601
orange_cone,601,322,0,00:39:48.441879
orange_cone,597,426,0,00:39:48.478683
orange_cone,600,321,0,00:39:48.478972
orange_cone,596,425,0,00:39:48.515771
orange_cone,600,321,0,00:39:48.516064
orange_cone,595,425,0,00:39:48.552967
orange_cone,601,320,0,00:39:48.553275
orange_cone,597,426,0,00:39:48.589947
orange_cone,600,320,0,00:39:48.590237
orange_cone,598,426,0,00:39:48.626078
orange_cone,601,319,0,00:39:48.626368
orange_cone,599,428,0,00:39:48.662958
orange_cone,601,319,0,00:39:48.663245
orange_cone,600,428,0,00:39:48.699498
orange_cone,602,318,0,00:39:48.699881
orange_cone,601,429,0,00:39:48.737786
orange_cone,601,428,0,00:39:48.774142
orange_cone,602,427,0,00:39:48.810724
orange_cone,603,427,0,00:39:48.846733
orange_cone,602,427,0,00:39:48.882126
orange_cone,603,425,0,00:39:48.917544
blue_cone,615,320,0,00:39:48.917782
orange_cone,603,424,0,00:39:48.953138
blue_cone,615,319,0,00:39:48.953419
orange_cone,603,423,0,00:39:48.982150
blue_cone,615,319,0,00:39:48.982360
