Objekt,X,Y,Širina,Višina,Zaupanje,Čas
jabolka,771,640,107,153,0.80,12:17:23.082420
jabolka,772,640,108,153,0.78,12:17:23.323193
jabolka,772,640,108,153,0.77,12:17:23.548413
jabolka,771,640,107,153,0.79,12:17:23.749526
jabolka,1035,211,270,388,0.32,12:17:23.749873
jabolka,771,640,107,153,0.81,12:17:23.918379
jabolka,1155,279,241,498,0.44,12:17:23.918948
jabolka,771,640,107,154,0.79,12:17:24.092677
jabolka,772,640,108,153,0.77,12:17:24.320224
jabolka,1197,271,162,519,0.26,12:17:24.320872
jabolka,771,640,107,153,0.78,12:17:24.529144
jabolka,1197,266,157,517,0.66,12:17:24.529660
jabolka,772,640,108,153,0.76,12:17:24.744618
jabolka,772,640,108,154,0.80,12:17:24.978750
jabolka,969,181,156,154,0.54,12:17:24.979190
jabolka,771,640,107,153,0.78,12:17:25.126227
jabolka,934,205,137,170,0.49,12:17:25.126593
jabolka,771,640,107,154,0.80,12:17:25.354837
jabolka,771,640,107,153,0.80,12:17:25.584851
jabolka,953,224,152,177,0.32,12:17:25.585315
jabolka,771,640,107,154,0.80,12:17:25.760217
jabolka,771,640,107,154,0.80,12:17:25.991664
jabolka,772,640,108,154,0.79,12:17:26.181027
jabolka,947,223,134,168,0.54,12:17:26.181723
jabolka,772,640,108,154,0.79,12:17:26.381006
jabolka,1115,268,330,481,0.42,12:17:26.381610
jabolka,772,640,108,153,0.78,12:17:26.582084
jabolka,771,640,107,154,0.77,12:17:26.810176
jabolka,771,633,108,167,0.52,12:17:27.009242
jabolka,838,347,159,673,0.51,12:17:27.011318
jabolka,837,389,156,477,0.27,12:17:27.014975
jabolka,772,640,108,155,0.58,12:17:27.819960
jabolka,671,465,77,288,0.37,12:17:27.820554
jabolka,771,640,109,154,0.67,12:17:28.015474
jabolka,771,640,109,154,0.70,12:17:28.252860
jabolka,771,640,109,154,0.73,12:17:28.532595
jabolka,771,640,109,154,0.72,12:17:28.771739
jabolka,38,219,76,336,0.41,12:17:28.774010
jabolka,771,640,108,153,0.72,12:17:28.918921
jabolka,37,251,74,272,0.49,12:17:28.919313
jabolka,771,640,109,154,0.69,12:17:29.114812
jabolka,771,640,109,154,0.70,12:17:29.351931
jabolka,38,215,77,402,0.34,12:17:29.352473
jabolka,771,640,109,154,0.71,12:17:29.548111
jabolka,771,640,108,154,0.69,12:17:29.755129
jabolka,38,212,76,425,0.32,12:17:29.756149
jabolka,771,640,109,154,0.71,12:17:29.999737
jabolka,771,640,109,154,0.67,12:17:30.145378
jabolka,771,640,109,153,0.67,12:17:30.312283
jabolka,771,640,109,153,0.68,12:17:30.537569
jabolka,771,640,109,155,0.70,12:17:30.695181
jabolka,771,640,109,155,0.74,12:17:30.942060
jabolka,771,640,109,153,0.70,12:17:31.139053
jabolka,771,640,109,154,0.71,12:17:31.340172
jabolka,27,88,54,161,0.41,12:17:31.340856
jabolka,771,640,109,154,0.72,12:17:31.534562
jabolka,59,122,119,242,0.35,12:17:31.535094
jabolka,771,640,109,155,0.76,12:17:31.717514
jabolka,59,139,119,260,0.45,12:17:31.718062
jabolka,771,640,109,153,0.71,12:17:31.906154
jabolka,85,125,68,213,0.48,12:17:31.906872
jabolka,83,173,67,119,0.28,12:17:31.908791
jabolka,771,640,109,153,0.75,12:17:32.096321
jabolka,771,640,109,153,0.76,12:17:32.274029
jabolka,548,254,158,293,0.38,12:17:32.274377
jabolka,626,338,114,258,0.78,12:17:32.420414
jabolka,771,640,109,154,0.73,12:17:32.420772
jabolka,668,523,59,168,0.56,12:17:32.421189
jabolka,772,640,108,154,0.71,12:17:32.667290
jabolka,657,316,107,214,0.32,12:17:32.667773
jabolka,772,641,108,154,0.70,12:17:32.889378
jabolka,682,335,102,214,0.34,12:17:32.890328
jabolka,703,31,95,60,0.33,12:17:32.891086
jabolka,772,641,108,154,0.73,12:17:33.094788
jabolka,695,347,105,220,0.55,12:17:33.095787
jabolka,715,30,98,59,0.27,12:17:33.096450
jabolka,772,641,107,154,0.74,12:17:33.288458
jabolka,697,336,104,203,0.54,12:17:33.289140
jabolka,712,30,93,59,0.30,12:17:33.289691
jabolka,695,338,104,213,0.77,12:17:33.455075
jabolka,772,641,108,154,0.75,12:17:33.455625
jabolka,772,641,109,154,0.73,12:17:33.609383
jabolka,694,339,106,215,0.60,12:17:33.609749
jabolka,772,641,108,154,0.72,12:17:33.846139
jabolka,692,337,107,203,0.47,12:17:33.846642
jabolka,679,332,89,195,0.82,12:17:34.071552
jabolka,772,640,109,155,0.66,12:17:34.072137
jabolka,772,640,108,154,0.66,12:17:34.303407
jabolka,772,640,108,155,0.68,12:17:34.509615
jabolka,663,332,78,198,0.53,12:17:34.509960
jabolka,772,639,109,155,0.68,12:17:34.667016
jabolka,663,332,78,199,0.48,12:17:34.667514
jabolka,772,639,109,155,0.65,12:17:34.896495
jabolka,663,330,79,197,0.47,12:17:34.896932
jabolka,772,640,109,155,0.70,12:17:35.110892
jabolka,664,329,77,194,0.62,12:17:35.111348
jabolka,772,640,109,155,0.69,12:17:35.267663
jabolka,665,329,78,195,0.65,12:17:35.268142
jabolka,772,640,109,155,0.65,12:17:35.506614
jabolka,665,328,76,194,0.48,12:17:35.507280
jabolka,666,330,78,194,0.66,12:17:35.694918
jabolka,772,640,109,155,0.63,12:17:35.695624
jabolka,671,333,73,195,0.71,12:17:35.890624
jabolka,772,640,108,154,0.65,12:17:35.890982
jabolka,999,413,114,226,0.37,12:17:35.891323
jabolka,772,640,108,154,0.70,12:17:36.058573
jabolka,997,406,75,239,0.56,12:17:36.059136
jabolka,726,404,104,168,0.55,12:17:36.059640
jabolka,681,303,54,127,0.43,12:17:36.060138
jabolka,771,640,109,154,0.65,12:17:36.207224
jabolka,1027,393,83,253,0.47,12:17:36.208248
jabolka,772,640,108,154,0.67,12:17:36.416149
jabolka,772,640,108,155,0.70,12:17:36.594563
jabolka,1041,389,123,259,0.49,12:17:36.595257
jabolka,771,640,109,154,0.65,12:17:36.786435
jabolka,1030,395,114,251,0.51,12:17:36.787121
jabolka,771,640,109,154,0.64,12:17:36.988003
jabolka,1027,403,112,251,0.39,12:17:36.988786
jabolka,772,640,108,156,0.66,12:17:37.220867
jabolka,1014,404,96,253,0.45,12:17:37.221321
jabolka,772,640,108,154,0.67,12:17:37.433934
jabolka,1024,402,100,256,0.63,12:17:37.434338
jabolka,772,640,108,154,0.63,12:17:37.640419
jabolka,1017,402,107,257,0.30,12:17:37.641375
jabolka,772,640,108,154,0.64,12:17:37.880237
jabolka,1010,397,116,260,0.47,12:17:37.880650
jabolka,772,640,108,155,0.68,12:17:38.117916
jabolka,999,394,117,254,0.57,12:17:38.118420
jabolka,772,640,108,154,0.62,12:17:38.354433
jabolka,996,394,115,251,0.56,12:17:38.354903
jabolka,772,640,109,156,0.60,12:17:38.529750
jabolka,978,403,116,231,0.40,12:17:38.530334
jabolka,772,640,108,154,0.66,12:17:38.735401
jabolka,970,399,112,236,0.29,12:17:38.735999
jabolka,772,640,108,154,0.67,12:17:38.908715
