Objekt,X,Y,Razdalja_mm,X3D,Y3D,Z3D,Čas
blue_cone,817,562,745000,,,,00:47:24.746736
blue_cone,817,562,666000,,,,00:47:24.776641
blue_cone,817,562,651000,,,,00:47:24.807544
blue_cone,831,549,634000,,,,00:47:24.842615
blue_cone,843,479,912000,,,,00:47:25.240654
blue_cone,841,554,635000,,,,00:47:25.241070
blue_cone,843,479,668000,,,,00:47:25.274616
blue_cone,841,554,615000,,,,00:47:25.275030
blue_cone,829,548,622000,,,,00:47:25.305758
blue_cone,829,548,615000,,,,00:47:25.346372
blue_cone,830,549,609000,,,,00:47:25.375287
blue_cone,830,549,602000,,,,00:47:25.407950
blue_cone,828,536,599000,,,,00:47:25.441684
orange_cone,763,487,644000,,,,00:47:25.936029
orange_cone,757,484,639000,,,,00:47:25.971518
orange_cone,757,484,637000,,,,00:47:26.010556
orange_cone,753,568,595000,,,,00:47:26.113698
orange_cone,753,568,595000,,,,00:47:26.151345
orange_cone,752,568,595000,,,,00:47:26.188856
orange_cone,747,477,636000,,,,00:47:26.189278
orange_cone,747,473,634000,,,,00:47:26.342316
orange_cone,751,565,594000,,,,00:47:26.573406
orange_cone,751,565,593000,,,,00:47:26.610495
orange_cone,747,477,633000,,,,00:47:27.099230
orange_cone,740,468,644000,,,,00:47:27.292997
orange_cone,734,469,645000,,,,00:47:27.325710
orange_cone,734,469,649000,,,,00:47:27.361749
orange_cone,731,465,652000,,,,00:47:27.397358
orange_cone,728,462,652000,,,,00:47:27.431167
orange_cone,728,462,651000,,,,00:47:27.469628
orange_cone,727,459,650000,,,,00:47:27.506177
orange_cone,725,459,651000,,,,00:47:27.542805
orange_cone,724,459,649000,,,,00:47:27.794570
orange_cone,725,460,650000,,,,00:47:27.826442
orange_cone,725,460,649000,,,,00:47:27.862489
orange_cone,725,460,649000,,,,00:47:27.898983
orange_cone,725,460,647000,,,,00:47:27.938655
orange_cone,727,460,649000,,,,00:47:28.078224
orange_cone,727,460,649000,,,,00:47:28.115630
orange_cone,727,460,648000,,,,00:47:28.155731
orange_cone,728,460,649000,,,,00:47:28.184445
orange_cone,728,460,649000,,,,00:47:28.222312
orange_cone,728,460,651000,,,,00:47:28.260349
orange_cone,727,460,650000,,,,00:47:28.300166
orange_cone,727,460,649000,,,,00:47:28.333867
orange_cone,727,460,650000,,,,00:47:28.371058
orange_cone,727,460,649000,,,,00:47:28.412772
orange_cone,727,460,650000,,,,00:47:28.449667
orange_cone,727,460,652000,,,,00:47:28.484692
orange_cone,727,460,646000,,,,00:47:28.522732
orange_cone,727,460,649000,,,,00:47:28.560576
orange_cone,727,460,651000,,,,00:47:28.598703
orange_cone,727,460,651000,,,,00:47:28.633487
orange_cone,727,460,651000,,,,00:47:28.672015
orange_cone,727,460,651000,,,,00:47:28.710520
orange_cone,727,460,650000,,,,00:47:28.748259
orange_cone,727,460,650000,,,,00:47:28.783632
orange_cone,727,460,649000,,,,00:47:28.823717
orange_cone,727,460,650000,,,,00:47:28.861334
orange_cone,726,460,650000,,,,00:47:28.899106
orange_cone,727,460,649000,,,,00:47:28.933974
orange_cone,727,460,649000,,,,00:47:28.972297
orange_cone,727,460,648000,,,,00:47:29.010523
orange_cone,727,460,651000,,,,00:47:29.043798
orange_cone,726,461,651000,,,,00:47:29.083910
orange_cone,726,461,650000,,,,00:47:29.121500
orange_cone,726,461,651000,,,,00:47:29.158352
orange_cone,726,461,650000,,,,00:47:29.193822
orange_cone,726,461,650000,,,,00:47:29.229244
orange_cone,726,461,652000,,,,00:47:29.267694
orange_cone,726,461,651000,,,,00:47:29.306580
orange_cone,726,461,652000,,,,00:47:29.342180
orange_cone,726,461,651000,,,,00:47:29.378121
orange_cone,726,461,650000,,,,00:47:29.417895
orange_cone,727,461,651000,,,,00:47:29.454700
orange_cone,727,461,650000,,,,00:47:29.490435
orange_cone,727,461,653000,,,,00:47:29.522463
orange_cone,726,461,650000,,,,00:47:29.568209
orange_cone,726,461,651000,,,,00:47:29.603096
orange_cone,726,461,651000,,,,00:47:29.633851
orange_cone,726,461,648000,,,,00:47:29.668313
orange_cone,726,461,648000,,,,00:47:29.702637
orange_cone,726,461,651000,,,,00:47:29.766647
orange_cone,726,461,650000,,,,00:47:29.822121
orange_cone,726,461,651000,,,,00:47:29.856913
orange_cone,726,462,650000,,,,00:47:29.890486
orange_cone,726,462,652000,,,,00:47:29.922012
orange_cone,726,462,651000,,,,00:47:29.958289
orange_cone,726,462,652000,,,,00:47:29.999296
orange_cone,726,462,651000,,,,00:47:30.036662
orange_cone,726,462,651000,,,,00:47:30.075967
orange_cone,726,462,652000,,,,00:47:30.114384
orange_cone,726,462,651000,,,,00:47:30.155146
orange_cone,726,462,651000,,,,00:47:30.193867
orange_cone,726,462,654000,,,,00:47:30.231461
orange_cone,726,462,650000,,,,00:47:30.269415
orange_cone,726,462,651000,,,,00:47:30.305856
orange_cone,726,462,652000,,,,00:47:30.334857
orange_cone,726,462,652000,,,,00:47:30.371238
orange_cone,727,461,651000,,,,00:47:30.413572
orange_cone,727,460,650000,,,,00:47:30.449599
orange_cone,728,460,655000,,,,00:47:30.489338
orange_cone,728,460,654000,,,,00:47:30.529300
orange_cone,728,461,653000,,,,00:47:30.563084
orange_cone,727,459,653000,,,,00:47:30.593881
orange_cone,727,459,653000,,,,00:47:30.629531
orange_cone,720,441,663000,,,,00:47:31.452875
orange_cone,720,441,663000,,,,00:47:31.484450
orange_cone,720,438,663000,,,,00:47:31.518956
orange_cone,718,437,665000,,,,00:47:31.549915
orange_cone,718,437,664000,,,,00:47:31.585539
orange_cone,718,437,664000,,,,00:47:31.623079
orange_cone,718,438,663000,,,,00:47:31.657102
orange_cone,718,438,662000,,,,00:47:31.693099
orange_cone,718,438,662000,,,,00:47:31.731239
orange_cone,718,441,663000,,,,00:47:31.767675
