Objekt,X,Y,Razdalja_mm,X3D,Y3D,Z3D,Čas
yellow_cone,969,468,4966,,,,00:43:57.496796
blue_cone,727,192,524,,,,00:43:58.252778
blue_cone,733,192,529,,,,00:43:58.414211
blue_cone,733,192,529,,,,00:43:58.457018
blue_cone,734,191,530,,,,00:43:58.498867
blue_cone,735,191,531,,,,00:43:58.539317
blue_cone,735,191,535,,,,00:43:58.584531
blue_cone,733,191,538,,,,00:43:58.622416
yellow_cone,978,471,0,,,,00:44:00.719621
yellow_cone,978,470,617,,,,00:44:00.761886
yellow_cone,978,470,582,,,,00:44:00.807613
yellow_cone,958,419,5000,,,,00:44:00.845671
yellow_cone,963,426,4973,,,,00:44:01.179586
yellow_cone,963,426,4969,,,,00:44:01.224049
yellow_cone,952,423,4991,,,,00:44:01.269059
yellow_cone,956,413,4996,,,,00:44:01.983051
yellow_cone,959,413,5001,,,,00:44:02.019418
yellow_cone,959,413,4991,,,,00:44:02.058299
yellow_cone,963,424,4980,,,,00:44:02.092744
yellow_cone,963,424,4988,,,,00:44:02.140068
yellow_cone,964,432,4982,,,,00:44:02.188266
yellow_cone,967,436,4976,,,,00:44:02.237424
yellow_cone,970,435,4968,,,,00:44:02.284948
yellow_cone,971,432,4979,,,,00:44:02.327987
yellow_cone,971,432,4981,,,,00:44:02.376123
yellow_cone,966,427,4966,,,,00:44:02.416231
yellow_cone,965,429,4975,,,,00:44:02.456128
yellow_cone,965,429,4984,,,,00:44:02.498178
yellow_cone,964,429,4977,,,,00:44:02.544203
yellow_cone,964,429,4985,,,,00:44:02.586787
yellow_cone,967,427,4975,,,,00:44:02.628670
yellow_cone,967,427,4980,,,,00:44:02.672863
yellow_cone,967,429,4971,,,,00:44:02.717649
yellow_cone,963,427,4978,,,,00:44:02.751144
yellow_cone,963,427,4985,,,,00:44:02.793758
yellow_cone,964,420,4972,,,,00:44:02.837126
yellow_cone,961,412,4988,,,,00:44:02.875661
yellow_cone,961,412,5001,,,,00:44:02.916494
yellow_cone,936,405,5014,,,,00:44:03.073921
orange_cone,711,550,613,,,,00:44:04.132793
orange_cone,711,550,711,,,,00:44:04.176541
orange_cone,661,511,544,,,,00:44:04.261628
orange_cone,661,511,538,,,,00:44:04.305446
orange_cone,656,477,543,,,,00:44:04.349171
orange_cone,650,459,545,,,,00:44:04.393666
orange_cone,622,491,511,,,,00:44:04.517146
orange_cone,613,454,505,,,,00:44:04.561269
orange_cone,615,370,0,,,,00:44:04.942061
orange_cone,615,370,0,,,,00:44:04.982390
orange_cone,612,371,0,,,,00:44:05.022163
orange_cone,609,370,0,,,,00:44:05.222185
orange_cone,612,369,0,,,,00:44:05.257456
orange_cone,612,369,0,,,,00:44:05.291023
orange_cone,611,373,0,,,,00:44:05.330265
orange_cone,612,372,0,,,,00:44:05.518161
orange_cone,613,373,0,,,,00:44:05.557888
orange_cone,613,373,0,,,,00:44:05.597929
orange_cone,613,373,0,,,,00:44:05.640528
orange_cone,613,374,0,,,,00:44:05.683386
orange_cone,613,373,0,,,,00:44:05.724512
orange_cone,613,373,0,,,,00:44:05.765119
orange_cone,613,373,0,,,,00:44:05.830899
orange_cone,614,374,0,,,,00:44:05.887676
orange_cone,615,373,0,,,,00:44:05.933058
orange_cone,615,373,0,,,,00:44:05.978326
orange_cone,616,372,0,,,,00:44:06.021400
orange_cone,616,372,0,,,,00:44:06.062997
orange_cone,616,372,0,,,,00:44:06.096388
orange_cone,616,373,0,,,,00:44:06.135690
orange_cone,616,372,0,,,,00:44:06.185883
orange_cone,617,373,0,,,,00:44:06.223974
orange_cone,617,373,0,,,,00:44:06.259397
orange_cone,617,373,0,,,,00:44:06.296334
orange_cone,617,372,0,,,,00:44:06.339548
orange_cone,616,373,0,,,,00:44:06.384971
orange_cone,617,373,0,,,,00:44:06.422281
orange_cone,617,373,0,,,,00:44:06.460375
orange_cone,617,373,0,,,,00:44:06.501745
orange_cone,617,372,0,,,,00:44:06.541989
orange_cone,617,373,0,,,,00:44:06.580688
orange_cone,617,373,0,,,,00:44:06.616159
orange_cone,616,372,0,,,,00:44:06.651660
orange_cone,616,372,0,,,,00:44:06.694587
orange_cone,616,372,0,,,,00:44:06.740989
orange_cone,616,371,0,,,,00:44:06.786409
orange_cone,616,371,0,,,,00:44:06.834254
orange_cone,616,371,0,,,,00:44:06.877069
orange_cone,616,371,0,,,,00:44:06.916488
yellow_cone,940,468,4983,,,,00:44:06.917211
orange_cone,616,371,0,,,,00:44:06.956364
orange_cone,616,371,0,,,,00:44:06.999260
orange_cone,616,371,0,,,,00:44:07.037002
orange_cone,616,372,0,,,,00:44:07.081060
orange_cone,616,371,0,,,,00:44:07.114698
orange_cone,616,371,0,,,,00:44:07.149260
orange_cone,616,371,0,,,,00:44:07.193251
orange_cone,616,371,0,,,,00:44:07.238752
orange_cone,616,371,0,,,,00:44:07.279589
orange_cone,616,371,0,,,,00:44:07.318368
orange_cone,616,372,0,,,,00:44:07.357187
orange_cone,616,372,0,,,,00:44:07.398475
orange_cone,616,372,0,,,,00:44:07.440910
orange_cone,617,372,0,,,,00:44:07.481445
orange_cone,617,372,0,,,,00:44:07.524606
orange_cone,617,372,0,,,,00:44:07.564471
orange_cone,617,372,0,,,,00:44:07.605887
orange_cone,617,372,0,,,,00:44:07.646775
yellow_cone,943,469,4981,,,,00:44:07.647143
orange_cone,616,372,0,,,,00:44:07.687186
orange_cone,617,371,0,,,,00:44:07.727968
orange_cone,617,371,0,,,,00:44:07.772290
orange_cone,617,371,0,,,,00:44:07.816711
orange_cone,617,371,0,,,,00:44:07.851105
orange_cone,617,370,0,,,,00:44:07.889220
orange_cone,617,372,0,,,,00:44:07.928037
orange_cone,617,372,0,,,,00:44:07.967436
orange_cone,617,372,0,,,,00:44:08.007300
orange_cone,617,371,0,,,,00:44:08.049396
orange_cone,618,372,0,,,,00:44:08.091117
orange_cone,618,371,0,,,,00:44:08.132675
orange_cone,618,372,0,,,,00:44:08.175336
orange_cone,617,372,0,,,,00:44:08.216679
orange_cone,617,372,0,,,,00:44:08.261194
orange_cone,617,372,0,,,,00:44:08.305077
orange_cone,617,372,0,,,,00:44:08.349002
orange_cone,617,372,0,,,,00:44:08.391447
orange_cone,617,372,0,,,,00:44:08.429902
orange_cone,618,372,0,,,,00:44:08.464382
yellow_cone,947,468,4979,,,,00:44:08.464791
orange_cone,618,372,0,,,,00:44:08.503865
yellow_cone,947,468,4978,,,,00:44:08.504275
orange_cone,617,372,0,,,,00:44:08.544081
orange_cone,617,372,0,,,,00:44:08.583660
orange_cone,617,372,0,,,,00:44:08.621885
orange_cone,617,372,0,,,,00:44:08.660759
orange_cone,617,372,0,,,,00:44:08.703289
orange_cone,616,372,0,,,,00:44:08.746921
orange_cone,617,373,0,,,,00:44:08.792550
orange_cone,617,373,0,,,,00:44:08.832429
orange_cone,617,373,0,,,,00:44:08.870043
orange_cone,617,373,0,,,,00:44:08.914754
orange_cone,617,373,0,,,,00:44:08.953134
orange_cone,617,371,0,,,,00:44:08.990383
orange_cone,617,371,0,,,,00:44:09.041695
orange_cone,617,371,0,,,,00:44:09.084907
orange_cone,618,371,0,,,,00:44:09.124781
orange_cone,618,371,0,,,,00:44:09.163557
orange_cone,618,371,0,,,,00:44:09.204884
orange_cone,618,370,0,,,,00:44:09.246393
orange_cone,619,369,0,,,,00:44:09.287402
orange_cone,619,369,0,,,,00:44:09.325665
orange_cone,619,369,0,,,,00:44:09.364049
orange_cone,619,369,0,,,,00:44:09.404480
orange_cone,626,385,0,,,,00:44:10.682729
orange_cone,623,405,0,,,,00:44:12.318808
orange_cone,622,416,0,,,,00:44:12.395486
orange_cone,623,416,0,,,,00:44:12.436368
orange_cone,622,414,504,,,,00:44:12.763928
orange_cone,621,414,500,,,,00:44:12.933056
orange_cone,621,414,499,,,,00:44:12.971616
orange_cone,620,410,498,,,,00:44:13.014393
orange_cone,620,409,0,,,,00:44:13.052257
orange_cone,620,404,0,,,,00:44:13.097770
orange_cone,619,417,0,,,,00:44:13.098169
orange_cone,620,403,0,,,,00:44:13.148160
orange_cone,622,425,497,,,,00:44:13.148559
orange_cone,618,403,0,,,,00:44:13.191514
orange_cone,618,403,0,,,,00:44:13.236911
orange_cone,622,401,0,,,,00:44:13.285870
orange_cone,622,401,0,,,,00:44:13.337685
orange_cone,622,401,0,,,,00:44:13.386430
orange_cone,622,401,0,,,,00:44:13.422830
orange_cone,623,401,0,,,,00:44:13.465596
orange_cone,623,400,0,,,,00:44:13.507524
orange_cone,623,400,0,,,,00:44:13.540902
orange_cone,624,401,0,,,,00:44:13.587227
orange_cone,624,401,0,,,,00:44:13.624782
orange_cone,621,403,0,,,,00:44:13.667818
orange_cone,620,403,0,,,,00:44:13.712359
orange_cone,622,422,0,,,,00:44:13.712726
orange_cone,620,418,0,,,,00:44:13.757459
orange_cone,622,403,0,,,,00:44:13.801855
orange_cone,621,405,0,,,,00:44:13.840818
orange_cone,621,405,0,,,,00:44:13.882846
orange_cone,620,405,0,,,,00:44:13.927418
orange_cone,620,405,0,,,,00:44:13.972345
orange_cone,620,404,0,,,,00:44:14.015293
orange_cone,620,404,0,,,,00:44:14.059188
orange_cone,620,405,0,,,,00:44:14.102448
yellow_cone,942,468,4981,,,,00:44:14.102822
orange_cone,620,406,0,,,,00:44:14.146133
orange_cone,620,406,0,,,,00:44:14.205025
orange_cone,619,406,0,,,,00:44:14.253161
orange_cone,619,405,0,,,,00:44:14.293740
orange_cone,619,405,0,,,,00:44:14.334909
orange_cone,619,405,0,,,,00:44:14.374602
orange_cone,619,407,0,,,,00:44:14.416076
orange_cone,619,408,0,,,,00:44:14.462234
orange_cone,619,409,0,,,,00:44:14.506813
orange_cone,619,410,0,,,,00:44:14.746811
orange_cone,619,410,0,,,,00:44:14.787131
orange_cone,618,409,0,,,,00:44:14.830453
orange_cone,618,405,0,,,,00:44:14.875118
orange_cone,620,407,0,,,,00:44:15.020803
orange_cone,619,399,0,,,,00:44:15.064867
orange_cone,619,396,0,,,,00:44:15.222964
orange_cone,619,396,0,,,,00:44:15.267330
orange_cone,619,396,0,,,,00:44:15.310173
orange_cone,620,395,0,,,,00:44:15.350790
orange_cone,620,394,0,,,,00:44:15.390193
orange_cone,620,394,0,,,,00:44:15.433590
orange_cone,619,393,0,,,,00:44:15.478302
orange_cone,619,395,0,,,,00:44:15.519680
orange_cone,619,394,0,,,,00:44:15.714502
orange_cone,618,397,0,,,,00:44:15.757134
yellow_cone,949,467,4969,,,,00:44:15.757522
orange_cone,617,402,0,,,,00:44:15.757823
orange_cone,618,396,0,,,,00:44:15.797460
