Objekt,Začetni_X,Začetni_Y,Končni_X,Končni_Y,Začetni_čas,Končni_čas
yellow_cone,629,437,629,437,12:43:25.795768,12:43:25.821574
blue_cone,515,348,515,348,12:43:26.881947,12:43:26.914584
orange_cone,608,392,622,323,12:43:26.913938,12:43:27.110741
orange_cone,625,268,567,256,12:43:28.049514,12:43:28.240108
yellow_cone,617,436,617,436,12:43:28.375374,12:43:28.407853
orange_cone,555,254,542,254,12:43:28.285192,12:43:28.407865
orange_cone,628,370,556,350,12:43:28.049601,12:43:28.407872
orange_cone,533,254,529,257,12:43:28.449145,12:43:28.513973
orange_cone,547,353,542,359,12:43:28.480417,12:43:28.547270
yellow_cone,626,438,618,436,12:43:28.449011,12:43:28.711765
orange_cone,572,230,567,233,12:43:28.677909,12:43:28.776732
orange_cone,511,276,512,279,12:43:28.647924,12:43:28.776744
orange_cone,520,368,520,368,12:43:28.745948,12:43:28.776750
yellow_cone,620,437,620,437,12:43:28.745796,12:43:28.776756
orange_cone,554,230,554,230,12:43:28.849207,12:43:28.881930
yellow_cone,619,436,620,437,12:43:28.817539,12:43:28.881944
orange_cone,464,288,464,288,12:43:29.175860,12:43:29.217929
orange_cone,471,381,471,381,12:43:29.310554,12:43:29.344589
yellow_cone,619,437,619,437,12:43:29.310669,12:43:29.344602
blue_cone,482,251,482,251,12:43:29.671928,12:43:29.704825
blue_cone,243,132,243,132,12:43:29.744142,12:43:29.777474
orange_cone,411,291,411,301,12:43:29.704214,12:43:29.777486
blue_cone,471,251,471,251,12:43:29.744040,12:43:29.777493
orange_cone,388,302,388,302,12:43:29.810133,12:43:29.841114
orange_cone,425,260,425,260,12:43:29.875502,12:43:29.908115
orange_cone,320,305,320,305,12:43:29.943027,12:43:29.976988
orange_cone,287,325,247,326,12:43:30.008274,12:43:30.142022
orange_cone,224,331,224,331,12:43:30.215370,12:43:30.251707
orange_cone,246,421,246,421,12:43:30.215176,12:43:30.251727
orange_cone,212,327,210,329,12:43:30.286381,12:43:30.352490
orange_cone,234,416,228,424,12:43:30.286190,12:43:30.382634
orange_cone,195,338,195,338,12:43:30.447045,12:43:30.480169
orange_cone,612,345,156,386,12:43:27.906799,12:43:30.576071
orange_cone,213,442,211,446,12:43:30.511817,12:43:30.611807
orange_cone,211,454,210,456,12:43:30.643210,12:43:30.711436
orange_cone,184,377,153,400,12:43:30.675282,12:43:30.711451
orange_cone,208,460,204,464,12:43:30.743799,12:43:30.843421
yellow_cone,629,436,629,436,12:43:34.894118,12:43:34.930773
yellow_cone,574,240,574,240,12:43:35.463536,12:43:35.495201
blue_cone,525,349,525,349,12:43:35.494439,12:43:35.531923
orange_cone,629,301,631,297,12:43:35.700632,12:43:35.727768
orange_cone,483,246,483,246,12:43:35.700519,12:43:35.727780
orange_cone,628,294,629,299,12:43:35.763401,12:43:35.859528
orange_cone,626,309,628,309,12:43:35.932102,12:43:36.030997
orange_cone,633,402,630,397,12:43:36.166519,12:43:36.230606
orange_cone,618,392,612,395,12:43:36.330878,12:43:36.391759
orange_cone,629,299,588,305,12:43:36.066789,12:43:36.500916
orange_cone,568,310,568,310,12:43:36.595358,12:43:36.629433
orange_cone,595,400,583,399,12:43:36.500261,12:43:36.629452
orange_cone,565,311,565,311,12:43:36.663241,12:43:36.701000
orange_cone,571,401,568,400,12:43:36.700101,12:43:36.768268
orange_cone,624,436,624,436,12:43:36.966210,12:43:36.995224
orange_cone,513,317,513,317,12:43:37.195717,12:43:37.223975
orange_cone,522,413,518,414,12:43:37.423429,12:43:37.524149
orange_cone,491,315,491,315,12:43:37.491755,12:43:37.524161
orange_cone,487,323,482,317,12:43:37.632025,12:43:37.699075
orange_cone,509,414,509,414,12:43:37.663513,12:43:37.699091
yellow_cone,28,399,28,399,12:43:37.888670,12:43:37.924276
orange_cone,496,423,496,423,12:43:37.923655,12:43:37.959300
orange_cone,488,430,488,430,12:43:38.062831,12:43:38.093027
yellow_cone,35,386,42,372,12:43:37.993957,12:43:38.164841
orange_cone,485,423,484,427,12:43:38.128644,12:43:38.232885
orange_cone,423,463,419,467,12:43:38.092223,12:43:38.264890
orange_cone,418,465,417,466,12:43:38.332107,12:43:38.396415
orange_cone,43,374,42,375,12:43:38.496607,12:43:38.563661
yellow_cone,625,437,625,437,12:43:38.528902,12:43:38.563675
orange_cone,444,344,444,344,12:43:38.562946,12:43:38.596268
yellow_cone,619,437,619,437,12:43:38.695694,12:43:38.726916
yellow_cone,34,383,24,399,12:43:38.663804,12:43:38.828339
orange_cone,477,443,456,445,12:43:38.428429,12:43:38.828354
yellow_cone,617,437,617,437,12:43:38.792799,12:43:38.828363
yellow_cone,622,437,622,437,12:43:38.864344,12:43:38.897169
yellow_cone,506,296,506,296,12:43:38.864221,12:43:38.897185
orange_cone,446,446,446,446,12:43:38.928793,12:43:38.965095
yellow_cone,625,437,625,437,12:43:39.060496,12:43:39.095577
blue_cone,140,363,140,366,12:43:39.128062,12:43:39.196266
orange_cone,438,443,430,448,12:43:39.060363,12:43:39.262977
blue_cone,140,369,140,369,12:43:39.229406,12:43:39.262992
orange_cone,479,280,474,285,12:43:39.195407,12:43:39.297683
blue_cone,140,386,140,386,12:43:39.329716,12:43:39.362840
orange_cone,394,353,395,354,12:43:39.396455,12:43:39.462159
blue_cone,141,390,141,390,12:43:39.496840,12:43:39.528930
orange_cone,392,366,394,367,12:43:39.628535,12:43:39.692145
orange_cone,423,446,418,457,12:43:39.362103,12:43:39.729478
yellow_cone,623,435,623,435,12:43:39.691518,12:43:39.729494
orange_cone,412,394,412,394,12:43:39.956619,12:43:39.984919
blue_cone,139,391,139,391,12:43:40.028098,12:43:40.061405
orange_cone,410,398,413,400,12:43:40.028221,12:43:40.093832
yellow_cone,22,381,22,381,12:43:40.125697,12:43:40.160630
blue_cone,137,389,137,386,12:43:40.093109,12:43:40.160646
orange_cone,412,411,413,417,12:43:40.125961,12:43:40.192413
orange_cone,413,425,413,425,12:43:40.224474,12:43:40.260312
blue_cone,134,375,135,376,12:43:40.259580,12:43:40.326308
orange_cone,418,428,418,429,12:43:40.292531,12:43:40.360238
yellow_cone,25,372,25,372,12:43:40.422778,12:43:40.459446
blue_cone,133,363,133,363,12:43:40.557360,12:43:40.590524
yellow_cone,27,366,27,366,12:43:40.589826,12:43:40.622685
orange_cone,626,354,357,451,12:43:35.463404,12:43:40.722078
yellow_cone,28,336,28,336,12:43:40.689114,12:43:40.722091
blue_cone,418,443,420,451,12:43:40.657485,12:43:40.754504
blue_cone,136,360,136,360,12:43:40.721388,12:43:40.754518
yellow_cone,29,365,29,365,12:43:40.753756,12:43:40.789801
yellow_cone,30,365,30,339,12:43:40.853497,12:43:40.921706
orange_cone,495,375,502,373,12:43:40.889030,12:43:41.020231
blue_cone,129,363,129,366,12:43:40.853664,12:43:41.087664
blue_cone,129,365,130,378,12:43:41.119873,12:43:41.187266
blue_cone,129,370,129,362,12:43:41.219844,12:43:41.318471
blue_cone,128,368,128,368,12:43:41.382989,12:43:41.418926
blue_cone,128,365,128,365,12:43:41.451136,12:43:41.482967
orange_cone,29,316,28,317,12:43:41.550537,12:43:41.617888
blue_cone,129,361,130,375,12:43:41.517876,12:43:41.749469
blue_cone,129,388,129,388,12:43:41.781356,12:43:41.813189
blue_cone,128,391,128,391,12:43:41.912385,12:43:41.948028
blue_cone,135,390,135,390,12:43:42.080118,12:43:42.112026
yellow_cone,21,393,21,393,12:43:43.966802,12:43:43.999491
