Objekt,X,Y,Širina,Višina,Zaupanje,Čas
jabolka,429,408,219,623,0.65,12:15:23.862887
jabolka,851,295,307,543,0.44,12:15:24.289439
jabolka,721,327,112,165,0.33,12:15:25.323170
jabolka,758,321,106,151,0.33,12:15:25.573481
jabolka,788,367,104,157,0.31,12:15:25.775757
jabolka,752,352,113,154,0.35,12:15:27.298266
jabolka,747,351,105,148,0.34,12:15:27.616952
jabolka,744,359,114,168,0.35,12:15:28.593828
jabolka,808,639,131,160,0.49,12:15:37.528902
jabolka,783,641,127,157,0.85,12:15:37.686465
jabolka,768,640,108,154,0.74,12:15:37.908800
jabolka,751,643,95,151,0.82,12:15:38.117785
jabolka,739,643,87,149,0.85,12:15:38.305866
jabolka,738,643,87,149,0.81,12:15:38.508747
jabolka,739,644,86,148,0.80,12:15:38.665073
jabolka,738,644,85,147,0.83,12:15:38.837702
jabolka,738,644,85,147,0.84,12:15:39.068032
jabolka,1027,267,141,506,0.51,12:15:39.068302
jabolka,738,644,85,147,0.83,12:15:39.285602
jabolka,738,644,85,147,0.82,12:15:39.448888
jabolka,738,644,85,147,0.82,12:15:39.666324
jabolka,739,644,86,147,0.82,12:15:39.901184
jabolka,738,644,85,147,0.83,12:15:40.131201
jabolka,738,644,85,147,0.84,12:15:40.289950
jabolka,738,644,85,147,0.83,12:15:40.497245
jabolka,738,644,85,147,0.82,12:15:40.719224
jabolka,738,644,85,147,0.82,12:15:40.945863
jabolka,738,644,85,147,0.84,12:15:41.177377
jabolka,738,644,85,147,0.82,12:15:41.428920
jabolka,738,644,85,146,0.82,12:15:41.656836
jabolka,738,644,85,147,0.82,12:15:41.874808
jabolka,738,644,85,147,0.81,12:15:42.044310
jabolka,738,644,85,147,0.84,12:15:42.255995
jabolka,738,644,85,147,0.83,12:15:42.469052
jabolka,1028,321,137,400,0.36,12:15:42.469343
jabolka,738,644,84,148,0.81,12:15:42.623883
jabolka,736,643,81,149,0.83,12:15:42.865581
jabolka,756,642,96,152,0.78,12:15:43.085930
jabolka,772,641,110,152,0.69,12:15:43.280289
jabolka,772,639,109,155,0.75,12:15:43.479575
jabolka,772,640,109,153,0.82,12:15:43.635619
jabolka,1060,195,120,354,0.39,12:15:43.635943
jabolka,772,641,108,154,0.80,12:15:43.884533
jabolka,1053,183,111,360,0.32,12:15:43.884880
jabolka,771,640,107,154,0.80,12:15:44.051258
jabolka,772,640,108,155,0.82,12:15:44.273656
jabolka,772,640,108,153,0.81,12:15:44.508723
jabolka,772,640,108,153,0.80,12:15:44.655607
jabolka,772,640,108,154,0.80,12:15:44.873149
jabolka,772,640,108,154,0.80,12:15:45.119237
jabolka,772,640,108,154,0.78,12:15:45.343813
jabolka,772,640,108,153,0.81,12:15:45.577220
jabolka,772,640,108,153,0.82,12:15:45.799749
jabolka,772,640,108,153,0.83,12:15:45.983713
jabolka,772,640,109,154,0.83,12:15:46.215021
jabolka,772,640,108,154,0.81,12:15:46.377679
jabolka,771,640,107,154,0.83,12:15:46.597331
jabolka,772,640,109,154,0.81,12:15:46.844807
jabolka,772,640,108,154,0.82,12:15:47.034978
jabolka,772,640,109,154,0.83,12:15:47.211699
jabolka,772,640,108,154,0.85,12:15:47.413455
jabolka,771,640,107,154,0.83,12:15:47.646312
jabolka,795,638,154,162,0.30,12:15:47.646608
jabolka,772,640,108,154,0.81,12:15:47.876544
jabolka,772,640,108,154,0.83,12:15:48.043303
jabolka,772,640,108,155,0.83,12:15:48.212596
jabolka,772,640,108,155,0.82,12:15:48.469568
jabolka,771,640,107,154,0.83,12:15:48.616421
jabolka,772,640,108,155,0.84,12:15:48.826902
jabolka,772,640,108,154,0.82,12:15:48.988878
jabolka,772,640,108,154,0.82,12:15:49.214680
jabolka,772,640,108,153,0.81,12:15:49.441189
jabolka,772,640,108,154,0.81,12:15:49.653792
jabolka,772,640,109,154,0.83,12:15:49.893725
jabolka,772,640,108,154,0.81,12:15:50.109415
jabolka,772,640,108,153,0.81,12:15:50.283804
jabolka,772,640,108,153,0.80,12:15:50.445415
jabolka,772,640,108,154,0.78,12:15:50.613034
jabolka,772,640,108,154,0.79,12:15:50.797496
jabolka,772,640,109,153,0.80,12:15:50.969767
jabolka,771,640,107,153,0.79,12:15:51.206616
jabolka,772,640,108,153,0.81,12:15:51.441092
jabolka,772,641,108,154,0.80,12:15:51.646415
jabolka,772,640,109,154,0.78,12:15:51.863440
jabolka,772,640,108,153,0.79,12:15:52.044881
jabolka,772,640,109,153,0.81,12:15:52.288410
jabolka,771,640,107,154,0.76,12:15:52.506533
jabolka,771,640,107,154,0.76,12:15:52.745060
jabolka,771,640,107,154,0.72,12:15:52.950770
jabolka,1135,361,216,696,0.92,12:15:53.208448
jabolka,771,640,107,154,0.80,12:15:53.208798
jabolka,1159,413,238,613,0.50,12:15:53.209121
jabolka,489,423,179,584,0.55,12:15:53.591867
jabolka,589,398,187,639,0.36,12:15:54.051148
jabolka,582,434,175,490,0.34,12:15:54.239066
jabolka,670,400,176,435,0.38,12:15:55.792851
jabolka,692,594,172,251,0.66,12:15:55.956003
jabolka,668,409,176,425,0.42,12:15:55.956286
jabolka,677,606,165,228,0.32,12:15:56.109176
jabolka,674,581,155,278,0.32,12:15:56.531146
jabolka,660,434,176,422,0.48,12:15:56.716501
jabolka,661,398,165,348,0.48,12:15:56.953427
jabolka,663,399,166,348,0.43,12:15:57.129533
jabolka,601,614,162,212,0.32,12:15:57.130160
jabolka,662,395,164,350,0.43,12:15:57.342136
jabolka,605,618,171,204,0.33,12:15:57.342371
jabolka,660,387,173,345,0.49,12:15:57.533852
jabolka,659,385,174,353,0.42,12:15:57.714381
jabolka,664,388,168,343,0.46,12:15:57.951603
jabolka,783,79,163,154,0.43,12:15:58.591803
jabolka,560,525,203,322,0.48,12:15:59.163729
jabolka,560,513,204,346,0.43,12:15:59.402853
jabolka,556,513,193,348,0.34,12:15:59.568745
jabolka,591,54,197,106,0.33,12:15:59.569138
jabolka,586,49,174,97,0.39,12:15:59.800802
jabolka,543,508,232,347,0.47,12:15:59.983846
jabolka,541,507,238,344,0.43,12:16:00.200281
jabolka,599,48,178,96,0.31,12:16:00.200628
jabolka,627,42,139,85,0.39,12:16:00.630781
jabolka,616,36,103,73,0.57,12:16:07.890067
jabolka,669,335,166,384,0.61,12:16:09.238034
jabolka,621,570,185,295,0.86,12:16:09.562275
jabolka,603,567,171,299,0.56,12:16:09.884914
jabolka,602,490,169,460,0.40,12:16:09.885234
jabolka,611,466,186,508,0.66,12:16:10.051972
jabolka,605,532,186,369,0.38,12:16:10.052335
jabolka,639,449,183,542,0.77,12:16:10.215592
jabolka,632,539,202,358,0.36,12:16:10.215880
jabolka,660,565,214,305,0.43,12:16:10.384314
jabolka,699,515,188,409,0.79,12:16:10.555741
jabolka,748,484,199,471,0.86,12:16:10.721085
jabolka,744,550,205,339,0.63,12:16:10.950660
jabolka,738,545,196,348,0.41,12:16:11.103340
jabolka,743,548,209,344,0.64,12:16:11.257640
jabolka,739,543,197,351,0.58,12:16:11.420825
jabolka,739,538,197,363,0.75,12:16:11.575106
jabolka,734,503,198,433,0.77,12:16:11.733325
jabolka,729,519,197,401,0.82,12:16:11.890657
jabolka,726,514,198,412,0.87,12:16:12.055156
jabolka,721,555,205,323,0.82,12:16:12.206987
jabolka,720,564,205,308,0.81,12:16:12.359638
jabolka,720,514,201,411,0.89,12:16:12.530218
jabolka,718,516,202,407,0.91,12:16:12.701099
jabolka,716,515,199,410,0.85,12:16:12.869046
jabolka,714,545,201,345,0.87,12:16:13.042252
jabolka,713,515,195,409,0.90,12:16:13.207992
jabolka,707,459,189,522,0.86,12:16:13.374092
jabolka,694,527,198,386,0.79,12:16:13.548436
jabolka,707,466,178,508,0.39,12:16:13.549018
jabolka,699,458,185,523,0.89,12:16:13.712518
jabolka,661,451,253,538,0.43,12:16:13.883591
jabolka,700,465,177,508,0.37,12:16:13.888255
banana,741,668,53,86,0.30,12:16:14.735827
banana,741,666,52,90,0.39,12:16:14.907236
