Objekt,X,Y,Širina,Višina,Zaupanje,Čas
jabolka,687,481,215,478,0.97,12:15:05.496423
jabolka,679,549,166,338,0.51,12:15:06.093875
jabolka,846,58,109,115,0.33,12:15:06.094085
jabolka,688,460,176,519,0.71,12:15:06.242395
jabolka,677,522,171,394,0.46,12:15:06.242687
jabolka,687,457,180,526,0.79,12:15:06.406225
jabolka,686,465,183,509,0.84,12:15:06.653897
jabolka,680,459,186,521,0.77,12:15:06.904748
jabolka,686,454,192,531,0.85,12:15:07.124858
jabolka,684,453,181,534,0.83,12:15:07.290087
jabolka,683,451,185,537,0.80,12:15:07.488076
jabolka,685,453,176,534,0.67,12:15:07.704926
jabolka,684,452,180,536,0.56,12:15:07.951456
jabolka,683,450,182,539,0.62,12:15:08.147482
jabolka,683,453,180,534,0.59,12:15:08.364502
jabolka,682,454,182,532,0.71,12:15:08.580212
jabolka,687,467,176,504,0.76,12:15:08.832708
jabolka,668,536,168,365,0.31,12:15:08.833047
jabolka,700,451,193,538,0.96,12:15:09.016491
jabolka,690,450,184,540,0.87,12:15:09.200485
jabolka,673,522,169,391,0.32,12:15:09.200878
jabolka,694,466,177,507,0.88,12:15:09.441608
jabolka,694,455,183,529,0.93,12:15:09.661683
jabolka,682,526,176,384,0.37,12:15:09.662035
jabolka,682,451,192,538,0.61,12:15:09.831021
jabolka,676,565,195,310,0.40,12:15:10.017847
jabolka,699,456,187,527,0.89,12:15:10.245587
jabolka,694,548,202,343,0.90,12:15:10.434063
jabolka,702,467,187,506,0.82,12:15:10.434830
jabolka,699,459,187,522,0.91,12:15:10.634209
jabolka,684,524,181,387,0.31,12:15:10.634834
jabolka,696,485,182,469,0.92,12:15:10.837760
jabolka,688,567,199,305,0.54,12:15:11.039056
jabolka,685,568,207,304,0.46,12:15:11.280530
jabolka,686,567,204,306,0.48,12:15:11.445403
jabolka,686,567,206,306,0.48,12:15:11.593508
jabolka,678,559,183,319,0.41,12:15:11.745849
jabolka,976,86,245,168,0.33,12:15:11.746240
jabolka,678,551,179,333,0.41,12:15:11.951076
jabolka,686,469,183,501,0.35,12:15:11.951373
jabolka,682,569,181,298,0.47,12:15:12.111488
jabolka,684,570,183,296,0.44,12:15:12.316970
jabolka,684,571,193,294,0.47,12:15:12.496225
jabolka,682,571,180,293,0.47,12:15:12.698604
jabolka,974,88,236,175,0.34,12:15:12.699081
jabolka,683,571,180,293,0.49,12:15:12.914692
jabolka,973,89,234,176,0.39,12:15:12.914924
jabolka,683,570,179,296,0.46,12:15:13.091289
jabolka,972,89,236,177,0.38,12:15:13.091720
jabolka,688,507,188,423,0.37,12:15:13.092129
jabolka,974,89,234,176,0.47,12:15:13.337792
jabolka,681,570,180,295,0.37,12:15:13.338583
jabolka,683,511,185,417,0.32,12:15:13.339135
jabolka,682,572,187,292,0.49,12:15:13.577586
jabolka,685,517,195,406,0.39,12:15:13.577871
jabolka,974,88,232,174,0.37,12:15:13.578079
jabolka,686,572,190,294,0.41,12:15:13.801901
jabolka,973,89,234,176,0.37,12:15:13.802180
jabolka,705,450,301,539,0.49,12:15:13.959058
jabolka,643,450,486,539,0.40,12:15:13.959411
jabolka,695,541,293,358,0.38,12:15:13.959708
jabolka,697,447,193,546,0.73,12:15:14.192990
jabolka,687,574,190,288,0.54,12:15:14.193300
jabolka,663,576,159,283,0.54,12:15:14.406223
jabolka,664,570,190,298,0.51,12:15:14.597877
jabolka,674,446,206,548,0.43,12:15:14.598883
jabolka,674,573,191,289,0.40,12:15:14.827331
jabolka,681,447,198,546,0.38,12:15:14.827655
jabolka,685,440,176,551,0.71,12:15:15.082264
jabolka,672,568,188,300,0.47,12:15:15.082571
jabolka,680,437,179,559,0.68,12:15:15.328624
jabolka,669,546,183,345,0.57,12:15:15.329038
jabolka,687,447,176,540,0.84,12:15:15.535669
jabolka,671,557,186,321,0.45,12:15:15.536006
jabolka,1248,162,61,284,0.41,12:15:15.536265
jabolka,682,575,206,288,0.32,12:15:15.768826
jabolka,697,471,195,497,0.46,12:15:15.983890
jabolka,689,561,203,315,0.45,12:15:15.984164
jabolka,698,473,194,493,0.58,12:15:16.205581
jabolka,688,544,199,349,0.55,12:15:16.206366
jabolka,689,579,204,279,0.50,12:15:16.416832
jabolka,684,576,206,286,0.56,12:15:16.574863
jabolka,685,575,188,286,0.41,12:15:16.733666
jabolka,1232,224,96,321,0.49,12:15:16.934064
jabolka,682,582,205,276,0.37,12:15:16.934549
jabolka,690,575,200,286,0.40,12:15:17.171049
jabolka,685,575,201,287,0.41,12:15:17.401244
jabolka,687,575,204,286,0.42,12:15:17.621171
jabolka,682,575,191,287,0.47,12:15:17.770021
jabolka,693,521,191,398,0.35,12:15:17.770288
jabolka,1226,479,107,404,0.30,12:15:17.770495
jabolka,683,576,201,286,0.43,12:15:17.966449
jabolka,683,576,193,286,0.43,12:15:18.171604
jabolka,690,458,191,524,0.50,12:15:18.428191
jabolka,683,573,190,292,0.41,12:15:18.428563
jabolka,680,574,176,289,0.55,12:15:18.688587
jabolka,925,111,259,221,0.51,12:15:18.921925
jabolka,674,574,175,289,0.43,12:15:18.922241
jabolka,670,574,177,290,0.35,12:15:19.095618
jabolka,676,575,172,288,0.46,12:15:19.341605
jabolka,687,575,200,287,0.41,12:15:19.507890
jabolka,930,113,249,224,0.35,12:15:19.508253
jabolka,681,574,182,288,0.50,12:15:19.706127
jabolka,690,458,188,524,0.40,12:15:19.706418
jabolka,1018,103,93,206,0.38,12:15:19.706608
jabolka,680,572,184,293,0.49,12:15:19.923986
jabolka,995,116,160,232,0.45,12:15:19.924221
jabolka,685,460,190,519,0.30,12:15:19.924459
jabolka,673,571,182,294,0.43,12:15:20.100123
jabolka,671,588,180,261,0.64,12:15:20.278165
jabolka,670,582,180,272,0.70,12:15:20.503181
jabolka,670,587,180,262,0.49,12:15:20.718187
jabolka,666,569,181,297,0.57,12:15:20.941370
jabolka,878,34,48,69,0.32,12:15:20.941643
jabolka,663,597,174,242,0.65,12:15:21.170014
jabolka,666,532,162,376,0.51,12:15:21.170331
jabolka,864,34,43,69,0.31,12:15:21.170545
jabolka,662,596,175,245,0.63,12:15:21.390101
jabolka,666,532,164,376,0.51,12:15:21.390476
jabolka,664,581,176,274,0.58,12:15:21.602809
jabolka,667,531,164,378,0.51,12:15:21.603233
jabolka,664,589,174,258,0.62,12:15:21.755445
jabolka,665,527,165,386,0.53,12:15:21.755738
jabolka,662,604,175,228,0.67,12:15:21.938022
jabolka,661,528,171,384,0.48,12:15:21.938569
jabolka,653,599,197,239,0.66,12:15:22.183452
jabolka,520,584,198,271,0.51,12:15:22.420464
jabolka,563,92,225,182,0.61,12:15:22.656706
jabolka,389,580,191,279,0.58,12:15:22.657064
jabolka,370,447,164,544,0.51,12:15:23.237891
jabolka,402,599,172,240,0.50,12:15:23.389765
jabolka,408,588,184,258,0.46,12:15:23.624171
