Objekt,X,Y,Razdalja_mm,X3D,Y3D,Z3D,Čas
jabolka,952,424,531000,,,,11:10:54.224512
jabolka,959,425,530500,,,,11:10:54.275633
jabolka,957,386,521000,,,,11:10:54.275979
jabolka,962,425,535000,,,,11:10:54.329652
jabolka,963,425,528000,,,,11:10:54.379387
jabolka,962,426,1863000,,,,11:10:54.431972
jabolka,955,430,532500,,,,11:10:54.483372
pomaranca,936,366,550000,,,,11:10:54.483747
jabolka,953,371,526000,,,,11:10:54.484045
pomaranca,938,368,527000,,,,11:10:54.536688
jabolka,952,431,524000,,,,11:10:54.537026
pomaranca,944,369,518000,,,,11:10:54.588361
pomaranca,943,369,518000,,,,11:10:54.640273
jabolka,948,370,514000,,,,11:10:54.640645
jabolka,950,433,534000,,,,11:10:54.691536
pomaranca,945,370,530000,,,,11:10:54.692013
jabolka,950,374,526000,,,,11:10:54.692687
jabolka,954,435,548000,,,,11:10:54.742512
jabolka,958,435,579000,,,,11:10:54.796480
jabolka,956,380,562000,,,,11:10:54.796823
jabolka,964,436,593000,,,,11:10:54.844635
jabolka,964,382,562000,,,,11:10:54.845192
jabolka,957,357,573000,,,,11:10:55.596604
pomaranca,930,357,601000,,,,11:10:55.596996
jabolka,951,355,568000,,,,11:10:55.647406
pomaranca,932,356,657000,,,,11:10:55.647775
pomaranca,939,356,525000,,,,11:10:55.698898
jabolka,949,356,516000,,,,11:10:55.699251
pomaranca,939,353,530000,,,,11:10:55.750285
jabolka,946,353,517000,,,,11:10:55.750623
pomaranca,938,353,517000,,,,11:10:55.803299
jabolka,945,353,515000,,,,11:10:55.803628
pomaranca,942,351,520000,,,,11:10:55.853169
jabolka,945,351,519000,,,,11:10:55.853524
pomaranca,942,351,525000,,,,11:10:55.904527
jabolka,946,351,516000,,,,11:10:55.904850
pomaranca,939,351,524000,,,,11:10:55.955871
jabolka,943,351,524000,,,,11:10:55.956233
jabolka,944,352,527000,,,,11:10:56.007512
pomaranca,940,353,529000,,,,11:10:56.007856
pomaranca,936,353,548000,,,,11:10:56.060708
jabolka,945,353,521000,,,,11:10:56.061092
jabolka,950,366,517000,,,,11:10:56.111546
jabolka,951,412,534000,,,,11:10:56.111883
pomaranca,932,358,528000,,,,11:10:56.112218
