Objekt,Začetni_X,Začetni_Y,Končni_X,Končni_Y,Začetni_čas,Končni_čas
blue_cone,208,332,211,345,12:50:11.191568,12:50:11.349198
blue_cone,129,342,129,342,12:50:11.984811,12:50:12.017922
blue_cone,449,301,449,301,12:50:12.746290,12:50:12.780259
blue_cone,446,300,446,300,12:50:12.816195,12:50:12.849423
blue_cone,169,348,169,348,12:50:13.375760,12:50:13.413760
blue_cone,432,249,428,250,12:50:13.212704,12:50:13.546226
orange_cone,431,253,431,254,12:50:13.620590,12:50:13.681346
blue_cone,430,253,431,253,12:50:13.853475,12:50:13.911998
yellow_cone,28,357,28,333,12:50:14.085261,12:50:14.153770
yellow_cone,32,374,32,376,12:50:14.249479,12:50:14.317459
yellow_cone,32,382,32,382,12:50:14.349912,12:50:14.385173
blue_cone,425,253,402,253,12:50:14.118268,12:50:14.416855
yellow_cone,35,366,35,366,12:50:15.249489,12:50:15.282132
yellow_cone,29,356,29,356,12:50:16.081401,12:50:16.114394
yellow_cone,197,314,197,314,12:50:18.594674,12:50:18.625840
orange_cone,29,321,29,321,12:50:18.594548,12:50:18.625852
yellow_cone,318,332,311,333,12:50:18.377575,12:50:18.684855
orange_cone,33,319,33,322,12:50:18.744105,12:50:18.836095
orange_cone,33,322,33,322,12:50:18.865964,12:50:18.897112
orange_cone,277,283,277,283,12:50:18.995978,12:50:19.030781
orange_cone,33,319,32,321,12:50:18.961344,12:50:19.030798
orange_cone,33,321,33,321,12:50:19.094557,12:50:19.122862
